Suma Alzada	1. |[#] [APRUÉBESE/REGULARIZESE] LA CONTRATACIÓN DE PRESTACIÓN DE SERVICIOS A HONORARIOS, de [NOMBRE PERSONA], RUT: [RUT PERSONA], a partir del [DÍA de MES de AÑO INICIO] y según da cuenta el instrumento de contratación [(de fecha DÍA de MES de AÑO)/(de igual fecha)], suscrito entre las partes, para que realice el cometido N°[NRO COMETIDO]:
Programas	1. |[#] [APRUÉBESE/REGULARIZESE] LA CONTRATACIÓN DE PRESTACIÓN DE SERVICIOS A HONORARIOS, de [NOMBRE PERSONA], RUT: [RUT PERSONA], a partir del [DÍA de MES de AÑO INICIO] y según da cuenta el instrumento de contratación [(de fecha DÍA de MES de AÑO)/(de igual fecha)], suscrito entre las partes, para "[NOMBRE PROGRAMA]", para que realice el siguiente cometido:
Educación	1. |[#] [APRUÉBESE/REGULARIZESE] LA CONTRATACIÓN DE PRESTACIÓN DE SERVICIOS A HONORARIOS, de [NOMBRE PERSONA], RUT: [RUT PERSONA], a partir del [DÍA de MES de AÑO INICIO] y según da cuenta el instrumento de contratación [(de fecha DÍA de MES de AÑO)/(de igual fecha)], suscrito entre las partes, específicamente para:
Salud   	1. |[#] [APRUÉBESE/REGULARIZESE] LA CONTRATACIÓN DE PRESTACIÓN DE SERVICIOS A HONORARIOS, de [NOMBRE PERSONA], RUT: [RUT PERSONA], a partir del [DÍA de MES de AÑO INICIO] y según da cuenta el instrumento de contratación [(de fecha DÍA de MES de AÑO)/(de igual fecha)], suscrito entre las partes, para que preste servicios en el [COSAM/CESFAM/Departamento de Salud Municipal/SAPU][, en el NOMBRE PROGRAMA], como [ESPECIALIDAD SALUD], específicamente para:
Informe Final/Informe Mensual	            2. |[#] Por la prestación efectiva de servicios a que se refiere la cláusula precedente los honorarios de [NOMBRE PERSONA], será la Renta Bruta [Total/Mensual] [RB IMP RL]. Esta suma será pagada previa aprobación de [un Informe Final/Informes Mensuales] que para tal efecto debe presentar [ARTÍCULO + servidor/servidora] y posterior visación de las correspondientes Boletas de Honorarios por [DIRECTIVO A QUIEN SE INFORMA], según lo señalado en la cláusula QUINTA de este contrato.
Certificaciones de Cumplimientos Mensuales	2. |[#] Por la prestación efectiva de servicios a que se refiere la cláusula precedente los honorarios de [NOMBRE PERSONA], será la Renta Bruta [Total/Mensual] de [RB IMP RL]. Estas sumas serán pagadas contra entrega de [Certificaciones de Cumplimientos Mensuales/certificación de trabajo efectivamente realizado] y previa visación de las correspondientes Boletas de Honorarios por la Directora de Asesoría Jurídica, y se pagará el segundo o quinto día hábil del mes siguiente a aquel en el que se prestó el servicio.
Talleristas (ed)	2. |[#] Por la prestación efectiva de los servicios a que se refiere la cláusula precedente, la Municipalidad de Vitacura pagará a [NOMBRE PERSONA], [un honorario bruto por cada hora realizada de $[XX.XXX].- los días [DÍA TALLER] desde las [XX:XX a XX:XX] hrs., (replicar por cada día(s))/una Renta Bruta Total de $RB.-], lo que da un monto bruto mensual en el mes de [MES TALLER] de $[RBT].- con la deducción del [IMP]% por concepto de Impuesto a la Renta, lo que da un líquido a pagar de $[LIQ].- equivalente a [XX HRS TALLER] horas de taller. (Replicar por cada mes de trabajo).  Esta sumas serán pagadas previa certificación mensual del Director del establecimiento de la efectiva prestación de los servicios y visación de la correspondiente Boletas de Honorarios por el Jefe de Departamento de Educación Municipal y  por la Directora de Servicios de Salud, Educación y demás Incorporados a la Gestión Municipal, sobre las horas efectivamente realizadas y se pagará el segundo o quinto día hábil del mes siguiente a aquel en el que se prestó el servicio.
Siempre	3 |[#] Se deja expresamente señalado que [NOMBRE PERSONA], conoce las disposiciones establecidas en la Ley N°21.133 la que señala que los trabajadores que emitan Boleta de Honorarios tendrán la obligación de cotizar para su pensión.
Contratación por día(s)	 4.  |[#] El plazo de duración del presente contrato será por [(el día (DÍA de MES de AÑO)/(los días (DÍA de MES de AÑO) y (DÍA de MES de AÑO))].
Contratación por periodo 4.  |[#] El plazo de duración del presente contrato será desde el [DÍA de MES de AÑO INICIO] hasta el [DÍA de MES de AÑO TÉRMINO] pudiendo la Alcaldesa darle término antes de la fecha señalada por motivos fundados, dando aviso a la otra parte, con a lo menos 5 días de anticipación. También se podrá dar término al contrato dando aviso en cualquier momento, por comunicación del contratado con 30 días de anticipación, sin por ello perjudicar la continuidad del servicio.
